ticker,event_id,event_name,event_date,alpha,beta,R2,sigma,CAR,CAR_pct,t_stat,p_value,sig,n_est,n_days
FRC,2,SVB & Signature Bank closure,2023-03-10,-6.3e-4,1.321,0.566,0.01713,-1.045,-104.5%,-27.218,0,TRUE,200,5
SIVB,2,SVB & Signature Bank closure,2023-03-10,-0.00244,1.744,0.368,0.03385,-0.89,-89%,-18.544,0,TRUE,200,2
WAL,2,SVB & Signature Bank closure,2023-03-10,-4e-5,1.45,0.637,0.01622,-0.8535,-85.35%,-23.471,0,TRUE,200,5
PACW,2,SVB & Signature Bank closure,2023-03-10,-6.01e-4,1.396,0.617,0.01629,-0.6907,-69.07%,-18.916,0,TRUE,200,5
CMA,2,SVB & Signature Bank closure,2023-03-10,-4.75e-4,1.031,0.503,0.01515,-0.3892,-38.92%,-11.46,0,TRUE,200,5
ZION,2,SVB & Signature Bank closure,2023-03-10,-3.22e-4,1.11,0.585,0.01382,-0.3738,-37.38%,-12.062,0,TRUE,200,5
KEY,2,SVB & Signature Bank closure,2023-03-10,-6.4e-5,1.129,0.592,0.01388,-0.3466,-34.66%,-11.141,0,TRUE,200,5
SBNY,2,SVB & Signature Bank closure,2023-03-10,-0.003273,1.773,0.572,0.02271,-0.3382,-33.82%,-8.577,0,TRUE,200,3
TFC,2,SVB & Signature Bank closure,2023-03-10,1.01e-4,0.987,0.568,0.01275,-0.3078,-30.78%,-10.765,0,TRUE,200,5
UMBF,2,SVB & Signature Bank closure,2023-03-10,2.29e-4,0.788,0.435,0.0133,-0.2746,-27.46%,-9.213,0,TRUE,200,5
FHN,2,SVB & Signature Bank closure,2023-03-10,6.3e-4,0.267,0.248,0.00687,-0.2657,-26.57%,-17.244,0,TRUE,200,5
HBAN,2,SVB & Signature Bank closure,2023-03-10,9.14e-4,0.934,0.532,0.01298,-0.257,-25.7%,-8.832,0,TRUE,200,5
FITB,2,SVB & Signature Bank closure,2023-03-10,9.4e-5,1.079,0.571,0.01385,-0.2444,-24.44%,-7.87,0,TRUE,200,5
COLB,2,SVB & Signature Bank closure,2023-03-10,5.3e-4,0.835,0.448,0.01374,-0.2252,-22.52%,-7.312,0,TRUE,200,5
EWBC,2,SVB & Signature Bank closure,2023-03-10,4.7e-4,1.255,0.598,0.01523,-0.2192,-21.92%,-6.423,0,TRUE,200,5
WBS,2,SVB & Signature Bank closure,2023-03-10,6.58e-4,1.03,0.535,0.01421,-0.2188,-21.88%,-6.869,0,TRUE,200,5
EBC,2,SVB & Signature Bank closure,2023-03-10,-7.32e-4,0.566,0.263,0.01404,-0.2073,-20.73%,-6.588,0,TRUE,200,5
USB,2,SVB & Signature Bank closure,2023-03-10,1.08e-4,0.779,0.447,0.01283,-0.1826,-18.26%,-6.349,0,TRUE,200,5
CFG,2,SVB & Signature Bank closure,2023-03-10,5.3e-4,1.021,0.586,0.0127,-0.1783,-17.83%,-6.263,0,TRUE,200,5
CVBF,2,SVB & Signature Bank closure,2023-03-10,2.82e-4,0.46,0.251,0.01178,-0.1752,-17.52%,-6.633,0,TRUE,200,5
HWC,2,SVB & Signature Bank closure,2023-03-10,3.92e-4,0.901,0.507,0.01316,-0.1751,-17.51%,-5.938,0,TRUE,200,5
WSFS,2,SVB & Signature Bank closure,2023-03-10,0.001262,0.805,0.411,0.01427,-0.153,-15.3%,-4.781,0,TRUE,200,5
WTFC,2,SVB & Signature Bank closure,2023-03-10,5e-4,0.886,0.541,0.01209,-0.1476,-14.76%,-5.445,0,TRUE,200,5
IBCP,2,SVB & Signature Bank closure,2023-03-10,9.42e-4,0.647,0.351,0.01303,-0.1463,-14.63%,-5.011,0,TRUE,200,5
RF,2,SVB & Signature Bank closure,2023-03-10,6.94e-4,0.973,0.529,0.01359,-0.1445,-14.45%,-4.741,0,TRUE,200,5
TCBI,2,SVB & Signature Bank closure,2023-03-10,0.001096,0.938,0.432,0.01594,-0.1399,-13.99%,-3.917,1e-4,TRUE,200,5
HAFC,2,SVB & Signature Bank closure,2023-03-10,4.86e-4,0.851,0.476,0.01323,-0.1255,-12.55%,-4.234,0,TRUE,200,5
BAC,2,SVB & Signature Bank closure,2023-03-10,-2.26e-4,0.938,0.558,0.01235,-0.1205,-12.05%,-4.353,0,TRUE,200,5
BANR,2,SVB & Signature Bank closure,2023-03-10,8.84e-4,0.693,0.411,0.01228,-0.1147,-11.47%,-4.17,0,TRUE,200,5
BOKF,2,SVB & Signature Bank closure,2023-03-10,0.001057,0.695,0.422,0.01203,-0.11,-11%,-4.078,1e-4,TRUE,200,5
PB,2,SVB & Signature Bank closure,2023-03-10,5.97e-4,0.664,0.433,0.01125,-0.108,-10.8%,-4.281,0,TRUE,200,5
OZK,2,SVB & Signature Bank closure,2023-03-10,0.001039,1.008,0.543,0.01369,-0.1054,-10.54%,-3.434,7e-4,TRUE,200,5
CATY,2,SVB & Signature Bank closure,2023-03-10,7.05e-4,0.89,0.598,0.01081,-0.1052,-10.52%,-4.342,0,TRUE,200,5
VLY,2,SVB & Signature Bank closure,2023-03-10,1.96e-4,1.015,0.601,0.01225,-0.1002,-10.02%,-3.65,3e-4,TRUE,200,5
INDB,2,SVB & Signature Bank closure,2023-03-10,3.54e-4,0.541,0.329,0.01142,-0.0978,-9.78%,-3.82,2e-4,TRUE,200,5
ONB,2,SVB & Signature Bank closure,2023-03-10,9.9e-4,0.708,0.416,0.01241,-0.0963,-9.63%,-3.46,7e-4,TRUE,200,5
GABC,2,SVB & Signature Bank closure,2023-03-10,8.59e-4,0.459,0.248,0.01183,-0.0962,-9.62%,-3.625,4e-4,TRUE,200,5
WFC,2,SVB & Signature Bank closure,2023-03-10,4.12e-4,0.926,0.521,0.01314,-0.0876,-8.76%,-2.973,0.0033,TRUE,200,5
FFIN,2,SVB & Signature Bank closure,2023-03-10,-3.29e-4,0.702,0.35,0.01417,-0.0861,-8.61%,-2.711,0.0073,TRUE,200,5
TRMK,2,SVB & Signature Bank closure,2023-03-10,5.98e-4,0.591,0.258,0.01485,-0.0826,-8.26%,-2.482,0.0139,TRUE,200,5
SFNC,2,SVB & Signature Bank closure,2023-03-10,-2.59e-4,0.789,0.386,0.01474,-0.0784,-7.84%,-2.374,0.0186,TRUE,200,5
GBCI,2,SVB & Signature Bank closure,2023-03-10,3.47e-4,0.83,0.504,0.01219,-0.063,-6.3%,-2.306,0.0222,TRUE,200,5
